"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Mapping","Mapping: RIM Mapping","Mapping: W5 Mapping"
"Contract","","","",0,*,"","","","","Legal Agreement","A formal agreement between parties regarding the conduct of business, exchange of information or other matters.","","","","","","","","","",,,,,"",,,,"Contract",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","Event","Entity. Role, or Act","FinancialContract","financial.other"
"Contract.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Contract.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Contract.term.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Contract Term Type or Form","Type of Contract Provision such as specific requirements, purposes for actions, obligations, prohibitions, e.g. life time maximum benefit.","","","","","","","","","",,"example","Detailed codes for the types of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-type","",,,,"Contract.term.type",0,1,"","","See Contract.term mapping."
"Contract.term.subType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Contract Term Type specific classification","Subtype of this Contract Provision, e.g. life time maximum payment for a contract term for specific valued item, e.g. disability payment.","","","","","","","","","",,"example","Detailed codes for the subtypes of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-subtype","",,,,"Contract.term.subType",0,1,"","","See Contract.topic mapping."
"Contract.term.topic","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Context of the Contract term","The matter of concern in the context of this provision of the agrement.","The Contract.term.topic, as a Contract Resource subpart, is handled in the same manner as the Contract Resource as discussed above.","A contract term topic is typically about a portion of the contract topic which has additional or specialized rights, privileges, obligations, restrictions, and prohibitions that are binding on any grantor and grantee parties upon the execution of the contract. Contract.term.topic may be described in more detail in the [0..*] Contract.term.valuedItem @[0..1] Contract.term.valuedItem [x] Definition: Specific type of Contract Provision Valued Item that may be priced. CodeableConcept|Reference(Any) [See Contract.topic Requirements for further elaboration on this requirement.].","","","","","","","",,,,,"",,,,"Contract.term.topic",0,*,"","","See Contract.subType mapping."
"Contract.term.action","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Contract Term Activity","Action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action.","http://hl7.org/fhir/ValueSet/contract-action","",,,,"Contract.term.action",0,*,"","","See Contract.action mapping."
"Contract.term.actionReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Purpose for the Contract Term Action","Reason or purpose for the action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action reason.","http://hl7.org/fhir/ValueSet/v3-PurposeOfUse","",,,,"Contract.term.actionReason",0,*,"","","See Contract.actionReason mapping."
"Contract.term.securityLabel","","","",0,*,"","","Y","Coding {[]} {[]}
","Security Labels that define affected terms","A set of security labels that define which terms are controlled by this condition.","","","","","","","","","",,"extensible","Security Labels from the Healthcare Privacy and Security Classification System.","http://hl7.org/fhir/ValueSet/security-labels","",,,,"Contract.term.securityLabel",0,*,"","","See Contract.securityLabel mapping."
"Contract.term.agent","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contract Term Agent List","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","Several agents may be associated (i.e. has some responsibility for an activity) with an activity and vice-versa.For example, in cases of actions initiated by one user for other users, or in events that involve more than one user, hardware device, software, or system process. However, only one user may be the initiator/requestor for the event.","An agent can be a person, an organization, software, device, or other entities that may be ascribed responsibility.","","","","","","","",,,,,"",,,,"Contract.term.agent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
","See Contract.agent mapping."
"Contract.term.agent.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.agent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.agent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.agent.actor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Organization-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Patient-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Practitioner-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-RelatedPerson-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Location-1], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Contract-1]]}
","Contract Term Agent Subject","The agent assigned a role in this Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.agent.actor",1,1,"","","See Contract.agent.actor mapping."
"Contract.term.agent.role","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of the Contract Term Agent","Role played by the agent assigned this role in the execution of this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract actor role.","http://hl7.org/fhir/ValueSet/contract-actorrole","",,,,"Contract.term.agent.role",0,*,"","","See Contract.agent.role mapping."
"Contract.term.text","","","",0,1,"","","","string {[]} {[]}
","Human readable Contract term text","Human readable form of this Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.text",0,1,"",""
"Contract.term.valuedItem","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contract Term Valued Item List","Contract Provision Valued Item List.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
","COCT_RM440000UV09 ValuedUnitItem classCode INVE"
"Contract.term.valuedItem.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.valuedItem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.valuedItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.valuedItem.entity[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}","Contract Term Valued Item Type","Specific type of Contract Provision Valued Item that may be priced.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.entity[x]",0,1,"","","COCT_RM440000UV09 ValuedUnitItem code"
"Contract.term.valuedItem.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Contract Term Valued Item Number","Identifies a Contract Provision Valued Item instance.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.identifier",0,1,"","","COCT_RM440000UV09 ValuedUnitItem id"
"Contract.term.valuedItem.identifier.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.valuedItem.identifier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Contract.term.valuedItem.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary (If known)","The purpose of this identifier.","This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use","",,,,"Identifier.use",0,1,"","","Role.code or implied by context"
"Contract.term.valuedItem.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage. 

Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","","Role.code or implied by context"
"Contract.term.valuedItem.identifier.system","","","",0,1,"","","Y","uri {[]} {[]}
","The namespace for the identifier value","Establishes the namespace for the value - that is, a URL that describes a set values that are unique.","","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","","II.root or Role.id.root"
"Contract.term.valuedItem.identifier.value","","","",0,1,"","","Y","string {[]} {[]}
","The value that is unique","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://hl7.org/fhir/STU3/extension-rendered-value.html).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)"
"Contract.term.valuedItem.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","","Role.effectiveTime or implied by context"
"Contract.term.valuedItem.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Organization-1]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper"
"Contract.term.valuedItem.effectiveTime","","","",0,1,"","","","dateTime {[]} {[]}
","Contract Term Valued Item Effective Tiem","Indicates the time during which this Contract Term ValuedItem information is effective.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.effectiveTime",0,1,"","","COCT_RM440000UV09 ValuedUnitItem effectiveTime"
"Contract.term.valuedItem.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Contract Term Valued Item Count","Specifies the units by which the Contract Provision Valued Item is measured or counted, and quantifies the countable or measurable Contract Term Valued Item instances.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.quantity",0,1,"","","COCT_RM440000UV09 ValuedUnitItem unitQuantity"
"Contract.term.valuedItem.unitPrice","","","",0,1,"","","","Money {[]} {[]}
","Contract Term Valued Item fee, charge, or cost","A Contract Provision Valued Item unit valuation measure.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.unitPrice",0,1,"","","COCT_RM440000UV09 ValuedUnitItem unitPriceAmt"
"Contract.term.valuedItem.factor","","","",0,1,"","","","decimal {[]} {[]}
","Contract Term Valued Item Price Scaling Factor","A real number that represents a multiplier used in determining the overall value of the Contract Provision Valued Item delivered. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.factor",0,1,"","","COCT_RM440000UV09 ValuedUnitItem factorNumber"
"Contract.term.valuedItem.points","","","",0,1,"","","","decimal {[]} {[]}
","Contract Term Valued Item Difficulty Scaling Factor","An amount that expresses the weighting (based on difficulty, cost and/or resource intensiveness) associated with the Contract Provision Valued Item delivered. The concept of Points allows for assignment of point values for a Contract ProvisionValued Item, such that a monetary amount can be assigned to each point.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.points",0,1,"","","COCT_RM440000UV09 ValuedUnitItem pointNumber"
"Contract.term.valuedItem.net","","","",0,1,"","","","Money {[]} {[]}
","Total Contract Term Valued Item Value","Expresses the product of the Contract Provision Valued Item unitQuantity and the unitPriceAmt. For example, the formula: unit Quantity * unit Price (Cost per Point) * factor Number  * points = net Amount. Quantity, factor and points are assumed to be 1 if not supplied.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.net",0,1,"","","COCT_RM440000UV09 ValuedUnitItem net"
"Contract.term.group","","","",0,*,"","","","","Nested Contract Term Group","Nested group of Contract Provisions.","","","","","","","","","",,,,,"",,,,"Contract.term.group",0,*,"","","RIM Grouping or Nesting mechanisms"
"Contract.binding[x]","","","",0,1,"","","","Attachment {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference], CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Composition-1]]}","Binding Contract","Legally binding Contract: This is the signed and legally recognized representation of the Contract, which is considered the ""source of truth"" and which would be the basis for legal action related to enforcement of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.binding[x]",0,1,"","","DocumentCompletion code system AU (authenticated) Description: A completion status in which a document has been signed manually or electronically by one or more individuals who attest to its accuracy. No explicit determination is made that the assigned individual has performed the authentication. While the standard allows multiple instances of authentication, it would be typical to have a single instance of authentication, usually by the assigned individual."
"Contract.friendly","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contract Friendly Language","The ""patient friendly language"" versionof the Contract in whole or in parts. ""Patient friendly language"" means the representation of the Contract and Contract Provisions in a manner that is readily accessible and understandable by a layperson in accordance with best practices for communication styles that ensure that those agreeing to or signing the Contract understand the roles, actions, obligations, responsibilities, and implication of the agreement.","","","","","","","","","",,,,,"",,,,"Contract.friendly",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"Contract.friendly.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.friendly.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.friendly.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.friendly.content[x]","","","",1,1,"","","","Attachment {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference], CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Composition-1]]}","Easily comprehended representation of this Contract","Human readable rendering of this Contract in a format and representation intended to enhance comprehension and ensure understandability.","","","","","","","","","",,,,,"",,,,"Contract.friendly.content[x]",1,1,"","","Act.text Definition: A renderable textual or multimedia description (or reference to a description) of the complete information which would reasonably be expected to be displayed to a human reader conveyed by the Act."
"Contract.legal","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contract Legal Language","List of Legal expressions or representations of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.legal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"Contract.legal.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.legal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.legal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.legal.content[x]","","","",1,1,"","","","Attachment {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference], CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[https://fhir.hl7.org.uk/STU3/StructureDefinition/CareConnect-Composition-1]]}","Contract Legal Text","Contract legal text in human renderable form.","","","","","","","","","",,,,,"",,,,"Contract.legal.content[x]",1,1,"","","Example: Act.text of an Act coded as with ActPrivacyLaw, ActPolicy code"
"Contract.rule","","","",0,*,"","","","BackboneElement {[]} {[]}
","Computable Contract Language","List of Computable Policy Rule Language Representations of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.rule",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"Contract.rule.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.rule.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.rule.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.rule.content[x]","","","",1,1,"","","","Attachment {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}","Computable Contract Rules","Computable Contract conveyed using a policy rule language (e.g. XACML, DKAL, SecPal).","","","","","","","","","",,,,,"",,,,"Contract.rule.content[x]",1,1,"","","Computable Policy Consent [Observation: templateId 2.16.840.1.113883.3.445.16] This template is used to represent an alternative representation of the Privacy Consent Directive (e.g.,ODRL, XrML, XACML) as a computer-readable set of rules. An implementation may use any appropriate representations of the privacy consent in addition to the ""ConsentDirectiveStructuredDefinition"" which uses the Clinical Template structure to express the elements of a consent directive in an interoperable way.1. SHALL contain exactly one [1..1] templateId ( CONF-CD-16 ) such that ita. SHALL contain exactly one [1..1] @root=""2.16.840.1.113883.3.445.16""2. SHALL contain exactly one [1..1] @moodCode=""DEF"" (CodeSystem: 2.16.840.1.113883.5.1001 HL7ActMood) (CONF:14912)3. SHALL contain exactly one [1..1] code (CONF:9139)/@code=""57016-8"" Privacy Policy Acknowledgement Document (CodeSystem: 2.16.840.1.113883.6.1 LOINC) (CONF:9138)It specifies the LOINC code corresponding to ""Privacy Policy Acknowledgement Document"", it is fixed at this value.4. SHOULD contain zero or more [0..*] value with @xsi:type=""ANY"" (CONF:9140) The value contains the computable representation of the policy. This may be a standard-based access control or attribute control based policy (See""References""). Computable Policy Consent example<!-- Sample computable policy language representation --><entryRelationship typeCode=""COMP""><templateId root=""2.16.840.1.113883.3.445.16"" /><observationMedia classCode=""OBS"" moodCode=""EVN""><value mediaType=""text/xml"" representation=""TXT""> ... </value></observationMedia></entryRelationship>"
